;comment;date
0;Hemos ido a desayunar y hemos pedido dos cafés, una tosta de aguacate queso y huevo poché, una tostada de crema de cacahuete y plátano y un trozo de tarta de zanahoria. La verdad es que todo muy rico pero el camarero bastante empanado.…;2023-09-28
1;"La localización de Curry Verde es excelente, con mucha luz. El local también es muy bonito.
El día que fuimos (26) no estaban de muy buen humor, por el motivo que fuera, y tampoco nos supieron explicar con certeza qué era vegano y qué no (el menú digital tampoco es excesivamente claro), esto no me da seguridad para comer allí... Aunque tras preguntar en cocina nos quedamos más tranquilas.
La comida estaba muy rica, se agradecería que tengan reemplazos veganos, por ejemplo un queso vegano para la hamburguesa y no que te quiten ingredientes y te lo dejen al mismo precio.
Creo que la verdadera integración del veganismo llegará cuando se ofrezcan alternativas :)";2024-01-07
2;Local vegetariano, muy tranquilo, con terraza y vistas al puerto de Hondarribia. El personal es muy amable y la comida está muy buena. Parada obligatoria si quieres degustar platos vegetarianos en esta localidad.;2023-10-28
3;"La comida muy bien, todo muy rico, pero el problema es que desde que te sientas hasta que acabas de comer, tardan mucho, puede que haya sido solo cosa de hoy, pero desde que llegan los entrantes y de los entrantes pasamos al principal... He tenido mis dudas de si poner 5 estrellas porque de verdad, hemos tardado mucho en comer, pero es cierto que la comida está muy buena.

Así que si nos quedamos con lo bueno, la comida merece la pena, es una muy buena opción para los vegetarianos y está muy bien ubicado.";2023-06-28
4;"Una muy buena opción para comer en Hondarribia, no soy vegetariano pero la verdad que en este restaurante está todo muy bueno.

Las croquetas de puerro y queso emmental son increíbles y las comemos cada vez que pasamos por aquí.

Los rollitos Thai también muy buenos y recomendables.

Hemos probado también el malai kofta y el taglionini, recomiendo especialmente el malai 👌🏼👌🏼.

El servicio, el local y la limpieza: impecables!";2023-08-28
5;Hemos comido súper agusto,mucha variedad de comida vegetariana buenísima y un personal muy agradable, repetiremos sin duda.;2023-08-28
6;Un restaurante de comida vegetariana-vegana deliciosa. Me quedé sorprendida con lo sabroso y rico que estaba la mayoría de la comida. Mi plato favorito es el arroz chaufa y tampoco os podéis ir sin probar el lemon pie, el mejor que he probado hasta ahora. Suele ser difícil encontrar sitio para comer sin haber reservado antes.;2023-03-28
7;Un restaurante muy informal i muy bonito,ademas se come muy muy bien si eres vegetariano lo tecomiendo y si no tambien;2023-10-28
8;"Lamentable experiencia.  Mucho cuidado con este lugar. Recien fui a desayunar y me acerque a la barra y nadie ni me saludo, decidi sentarme fuera para tomar el sol y la chica que me atendio super borde, me dejo la experiencia más amarga de mi mas de 1 año viviendo en Onyarbi. Suelo pedir cafe solo largo y en vaso y me trajo un cafe americano, cuando le pido de favor q me diga q trajo me afirma q es un americano por ""aquí"" palabra que repitio muchas veces para hacerme sentir que no soy de ""aqui"". Me ofrecio una explicacion muy absurda porque ""aqui"" el cafe solo largo es un expreso porque dice que la cafetera profesional que tiene no trae una manga para un solo cafe sino q nada mas tienen la doble. En fin entre su forma chula de tratar y sus mentirosos argumentos decidi irme. Que vergüenza de experiencia por un trato indiferente y un cafe mal servido. Cuidado tambien con la carta que es por QR que no esta en las mesas y la internet es fatal y no te brinda el wifi de forma espontanea para que puedas elegir.";2023-08-28
9;"Menú cerrado por 18€ en la terraza.
Ensalada de espinacas etc demasiado queso y muy poco vegetal. Le falta más espinacas y más lechuga. El queso se puede reducir a fina lluvia o lo retira el cliente si así lo desea.
Lasaña de berenjena. Inicialmente nos parecía muy grasosa, pero al degustarla no es así.
Arroz con leche de coco y mermelada de mango con una fina ralladura de Lima. Delicíoso.
Los baños están limpios.
La decoración del local muy apropiada.";2023-01-28
